FRAME_NUM,TIME_STAMP,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z
183,Jun-23-2022 15:22:20.251,2,0.26,1.06,1.08
184,Jun-23-2022 15:22:20.362,2,0.26,1.06,1.08
185,Jun-23-2022 15:22:20.473,2,0.26,1.05,1.08
186,Jun-23-2022 15:22:20.584,2,0.26,1.06,1.07
187,Jun-23-2022 15:22:20.695,2,0.26,1.06,1.07
188,Jun-23-2022 15:22:20.806,2,0.27,1.07,1.11
189,Jun-23-2022 15:22:20.918,2,0.28,1.07,1.15
190,Jun-23-2022 15:22:21.029,2,0.29,1.06,1.16
191,Jun-23-2022 15:22:21.140,2,0.30,1.06,1.18
192,Jun-23-2022 15:22:21.251,2,0.32,1.06,1.20
193,Jun-23-2022 15:22:21.362,2,0.32,1.06,1.21
194,Jun-23-2022 15:22:21.473,2,0.31,1.06,1.21
195,Jun-23-2022 15:22:21.584,2,0.32,1.06,1.22
196,Jun-23-2022 15:22:21.695,2,0.32,1.04,1.21
197,Jun-23-2022 15:22:21.806,2,0.29,1.03,1.08
198,Jun-23-2022 15:22:21.918,2,0.31,1.04,1.13
199,Jun-23-2022 15:22:22.029,2,0.31,1.05,1.15
200,Jun-23-2022 15:22:22.140,2,0.31,1.03,1.11
201,Jun-23-2022 15:22:22.251,2,0.27,1.04,1.09
202,Jun-23-2022 15:22:22.362,2,0.28,1.04,1.14
203,Jun-23-2022 15:22:22.473,2,0.31,1.05,1.17
204,Jun-23-2022 15:22:22.584,2,0.30,1.06,1.17
205,Jun-23-2022 15:22:22.695,2,0.27,1.06,1.11
206,Jun-23-2022 15:22:22.806,2,0.25,1.06,1.09
207,Jun-23-2022 15:22:22.918,2,0.24,1.06,1.08
208,Jun-23-2022 15:22:23.029,2,0.26,1.06,1.05
209,Jun-23-2022 15:22:23.140,2,0.26,1.05,1.05
210,Jun-23-2022 15:22:23.251,2,0.27,1.05,1.02
211,Jun-23-2022 15:22:23.362,2,0.25,1.07,1.06
212,Jun-23-2022 15:22:23.473,2,0.25,1.06,1.07
213,Jun-23-2022 15:22:23.584,2,0.24,1.07,1.07
214,Jun-23-2022 15:22:23.695,2,0.24,1.07,1.06
215,Jun-23-2022 15:22:23.806,2,0.24,1.07,1.06
216,Jun-23-2022 15:22:23.918,2,0.25,1.07,1.11
217,Jun-23-2022 15:22:24.029,2,0.25,1.05,1.08
218,Jun-23-2022 15:22:24.140,2,0.28,1.04,1.06
219,Jun-23-2022 15:22:24.251,2,0.25,1.01,1.04
220,Jun-23-2022 15:22:24.362,2,0.28,1.03,1.05
221,Jun-23-2022 15:22:24.473,2,0.28,1.05,1.14
222,Jun-23-2022 15:22:24.584,2,0.26,1.06,1.17
223,Jun-23-2022 15:22:24.695,2,0.26,1.07,1.19
224,Jun-23-2022 15:22:24.807,2,0.16,1.04,0.95
225,Jun-23-2022 15:22:24.918,2,0.17,1.06,1.01
226,Jun-23-2022 15:22:25.029,2,0.21,1.09,1.08
227,Jun-23-2022 15:22:25.140,2,0.24,1.05,1.05
228,Jun-23-2022 15:22:25.251,2,0.28,1.07,1.11
229,Jun-23-2022 15:22:25.362,2,0.12,1.08,0.82
230,Jun-23-2022 15:22:25.473,2,0.06,1.13,0.61
231,Jun-23-2022 15:22:25.584,2,0.15,1.19,0.85
232,Jun-23-2022 15:22:25.695,2,0.08,1.20,0.72
233,Jun-23-2022 15:22:25.807,2,0.20,1.26,0.93
234,Jun-23-2022 15:22:25.918,2,0.15,1.34,0.86,1,-0.61,1.87,1.83
235,Jun-23-2022 15:22:26.029,2,0.22,1.36,1.00,1,-0.65,1.81,1.81
